Device,IPv4,IPv6,SysUpTime,Added,Location,Identifier,Description
de-wt-br-sia02,10.149.161.30,,67 days 9 hours,2022-03-28 09:51,,FORTINET-FORTIGATE-MIB.fgt100,
de-wt-br-sw01,172.18.92.13,,67 days 9 hours,2020-10-19 09:29,,CISCO-PRODUCTS-MIB.cat29xxStack,Cisco IOS C2960X (C2960X-UNIVERSALK9-M) Version 15.2(4)E7 RELEASE (fc2)
de-wt-br-sw02,172.18.92.14,,67 days 9 hours,2020-10-19 09:29,,CISCO-PRODUCTS-MIB.cat29xxStack,Cisco IOS C2960X (C2960X-UNIVERSALK9-M) Version 15.2(4)E7 RELEASE (fc2)
de-yq-br-r01,10.52.251.130,,76 days 8 hours,2023-01-03 11:29,,CISCO-PRODUCTS-MIB.ciscoISR4321,Cisco IOS Cupertino ISR (X86_64_LINUX_IOSD-UNIVERSALK9-M) Version 17.9.4a RELEASE (fc3)
de-yq-br-sw01,10.52.251.131,,76 days 8 hours,2023-01-03 11:40,//34346//Hann. Muenden//Auf dem Dreisch 2//0//0//0,CISCO-PRODUCTS-MIB.cat36xxstack,Cisco IOS Gibraltar Catalyst L3 Switch (CAT3K_CAA-UNIVERSALK9-M) Version 16.12.5b RELEASE (fc3)
EIAP001,10.201.38.121,,,2021-12-15 23:13,default location,,
EIAP001-Spare-1,10.201.38.150,,,2023-04-21 23:22,default location,,
EIAP002,10.201.38.81,,,2020-09-03 11:31,default location,,
EIAP003,10.201.38.159,,,2021-12-15 23:13,default location,,
EIAP004,10.201.38.83,,,2020-09-03 11:31,default location,,
EIAP005,10.201.38.84,,,2020-09-03 11:31,default location,,
EIAP006,10.201.38.144,,,2020-09-03 11:31,default location,,
EIAP007,10.201.38.145,,,2021-12-15 23:13,default location,,
EIAP008,10.201.38.149,,,2021-12-15 23:13,default location,,
EIAP009,10.201.38.138,,,2020-09-03 11:31,default location,,
EIAP010,10.201.38.140,,,2020-09-03 11:31,default location,,
EIAP011,10.201.38.141,,,2020-09-03 11:31,default location,,
EIAP012,10.201.38.91,,,2020-09-03 11:31,default location,,
EIAP015,10.201.38.170,,,2023-05-24 23:17,Geb_43_2.OG_Werkstechnik_In_der_abgeh ngten_Decke,,
EIAP048,10.201.38.128,,,2023-04-21 23:22,Geb_47_OG,,
EIAP048-Geb,10.201.38.128,,,2020-09-03 11:31,default location,,
EIAP049,10.201.38.129,,,2020-09-03 11:31,FWK_Sued_Aussen_Schleusecation,,
EIAP050,10.201.38.130,,,2023-04-21 23:22,FWK_Sued,,
EIAP050-neu,10.201.38.130,,,2020-09-03 11:31,default location,,
EIAP051,10.201.38.131,,,2020-09-03 11:31,41 Farbr ckverweigung,,
EIAP052,10.201.38.132,,,2023-04-25 23:25,44_1.OG_Putzraum,,
EIAP052-H,10.201.38.132,,,2020-09-03 11:31,Halle 31,,
EIAP053,10.201.38.133,,,2023-04-21 23:22,41_Farbrueckverweigung,,
EIAP053-H,10.201.38.133,,,2020-09-03 11:31,Halle 34,,
EIAP054,10.201.38.127,,,2023-04-21 23:22,Rohstofflager,,
EIAP055,10.201.38.124,,,2023-04-21 23:22,41_FMB,,
EIAP056,10.201.38.136,,,2023-04-21 23:22,50_Schaumlager,,
EIAP056-Geb,10.201.38.136,,,2020-09-03 11:31,default location,,
EIAP057,10.201.38.137,,,2023-04-21 23:22,Halle_31,,
EIAP057-Geb,10.201.38.137,,,2020-09-03 11:31,Geb.31,,
EIAP058,10.201.38.125,,,2023-04-21 23:22,Versandlager_West/S d,,
EIAP059,10.201.38.169,,,2023-04-21 23:22,Versandlager_West/Nord,,
EIAP059-Geb,10.201.38.169,,,2021-06-21 08:26,Geb.44,,
EIAP060,10.201.38.126,,,2023-04-21 23:22,Versandlager_Ost/Nord,,
EIAP061,10.201.38.182,,,2023-04-21 23:22,Versandlager_Ost/S d,,
EIAP063,10.201.38.143,,,2023-04-26 23:22,44_Schulungsraum,,
EIAP064,10.201.38.123,,,2023-01-13 23:44,H nge_B rocontainer,,
EIAP065,10.201.38.122,,,2023-01-13 23:44,Lackmischerei B rocontainer,,
EIAP066,10.201.38.146,,,2023-04-21 23:22,FWK_Mitte,,
EIAP066-Geb,10.201.38.146,,,2020-09-03 11:31,default location,,
EIAP067-Kantine,10.201.38.147,,,2023-06-29 23:29,default location,,
EIAP068,10.201.38.148,,,2020-09-03 11:31,47_Aussen,,
EIAP069,10.201.38.154,,,2023-04-21 23:22,43_Werkstatt,,
EIAP069-Geb,10.201.38.154,,,2021-12-15 23:13,default location,,
EIAP071,10.201.38.151,,,2020-09-03 11:31,41_Lager_hinten,,
EIAP072,10.201.38.152,,,2020-09-03 11:31,47_Kaulenlager,,
EIAP073,10.201.38.153,,,2020-09-03 11:31,Geb_31,,
EIAP074,10.201.32.176,,,2021-12-15 23:13,Rohstofflager,,
EIAP075,10.201.38.158,,,2021-12-15 23:13,Rohstofflager,,
EIAP076,10.201.38.156,,,2020-09-03 11:31,47_Kaulenlager,,
EIAP077,10.201.38.157,,,2020-09-03 11:31,Feuerwehr,,
